Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f11-r5-c3_S1131_	133	0.000560174	0.9413	567528	567528	73.272351	0.043515	0.0147313252726179	0.022560706401766	105	0.552631578947368	0.416577	0.151312
f1216-wt-mesc-a1h5-hkt-f11-r5-c4_S1132_	135	0.000632701	0.9757	469204	469204	73.587751	0.045213	0.0122098398913697	0.0213093501863555	85	0.620689655172414	0.414779	0.137572
f1216-wt-mesc-a1h5-hkt-f11-r5-c5_S1133_	132	0.0101065	0.9448	530002	530002	73.300176	0.041321	0.013794055718243	0.0171397693307891	97	0.5	0.417302	0.151074
f1216-wt-mesc-a1h5-hkt-f11-r5-c6_S1134_	133	0.00216132	0.9577	485362	485362	73.447476	0.042331	0.0126442860642903	0.023098361373353	90	0.484848484848485	0.415874	0.139558
f1216-wt-mesc-a1h5-hkt-f11-r6-c2_S1135_	115	0.0095543	0.8572	272694	272694	70.628899	0.022362	0.00697384560829329	0.0658674832236628	51	0.482758620689655	0.428185	0.138288
f1216-wt-mesc-a1h5-hkt-f11-r6-c3_S1136_	114	0.0225796	0.9613	240032	240032	70.8453	0.024572	0.00614344028624934	0.0584663637460292	45	0.666666666666667	0.421023	0.123002
f1216-wt-mesc-a1h5-hkt-f11-r6-c4_S1137_	117	0.00372144	0.9488	257458	257458	70.974536	0.023647	0.00660772642776218	0.0435352955644831	48	0.56	0.418502	0.134448
f1216-wt-mesc-a1h5-hkt-f11-r6-c5_S1138_	126	0.000253099	0.9667	350798	350798	71.78645	0.027953	0.00906615387414307	0.149516735556453	63	0.511627906976744	0.423121	0.149112
f1216-wt-mesc-a1h5-hkt-f12-r2-c2_S1140_	141	7.38284e-05	0.9546	360226	360226	73.982478	0.043412	0.00944202386261976	0.0419257694864875	65	0.516129032258065	0.418428	0.119427
f1216-wt-mesc-a1h5-hkt-f12-r2-c3_S1141_	130	0.00108635	0.9389	537196	537196	72.864737	0.039784	0.013920516392048	0.0226483233018057	98	0.529411764705882	0.416576	0.15405
